domain	cluster	score	partisan_score
1011now.com	22	0.5387	-0.05523022521938146
101greatgoals.com	4	-0.1426	-0.02460397241143554
101sports.com	48		0.10859593423627796
1045theteam.com	22	0.1866	-0.3052801707009113
107jamz.com	42		-0.22092507829962443
10news.com	11	0.3315	0.3154092254812114
10thousandcouples.com	4		0.42033142724847994
10tv.com	11	0.1897	0.4853496117904382
1130thetiger.com	44		-0.0787398070510122
11alive.com	48	0.1956	0.18177256404790276
12news.com	11	0.1167	0.43047230863175506
12newsnow.com	21	0.1802	0.45528987049302744
13abc.com	11	0.1424	0.3662658376321731
13newsnow.com	11	0.1512	0.3108239636118775
13wham.com	8	0.2303	0.295430456555028
13wmaz.com	48	0.059	0.12178112975640726
1410wizm.com	9		0.07287980897917455
1428elm.com	46		-0.5949476268914758
14news.com	11	0.2809	0.6155380078615279
1500espn.com	9	0.484	-0.09574075980428295
15rounds.com	22		-0.08104234296861552
1888pressrelease.com	28		-0.42025371291379593
21alive.com	23		0.31395973062615967
220triathlon.com	46		-0.638394826118128
225batonrouge.com	44	0.359	-0.4938153459403421
247sports.com	18	0.4578	-0.02810994727508244
247wallst.com	10	0.1304	-0.16998306826585155
24dash.com	1		-0.4511914472999941
24hrs.ca	38		-0.08080068860523806
27east.com	46	-0.0899	-0.6681142839129012
2br.co.uk	19		0.11763558997200588
2dayfm.com.au	13		-0.2349370981314224
2oceansvibe.com	22		-0.019979653328359923
2paragraphs.com	13		-0.08167191981064555
303magazine.com	32	-0.2611	-0.7924952825068184
360nobs.com	4		-0.010213270506112712
3aw.com.au	46		-0.5713580032592969
3blmedia.com	28	-0.3997	-0.28632767910407775
3ders.org	41	-0.1414	-0.38904900461444086
3dprint.com	41	0.0085	-0.4572038160491766
3news.co.nz	22	-0.0941	-0.013748587854032726
3newsnow.com	22	0.3859	0.07929822451244883
4029tv.com	48		0.25308858832816766
411mania.com	22	0.0786	-0.0815721712002177
41nbc.com	11		0.682452526874703
49ers.com	22	0.2392	-0.19184965312430943
4barsrest.com	46		-0.6805353606895063
4bc.com.au	7		-0.3113272063525033
4ni.co.uk	33		-0.14560679477185728
5280.com	30	-0.178	-0.30781087435819277
570news.com	38		0.4491557344186663
5newsonline.com	22		0.10701384023835836
604now.com	38		-0.11973785534878974
610cktb.com	38		-0.00930955811083399
610kvnu.com	11		0.391969846210822
620ckrm.com	16		-0.39900777485888067
630ched.com	16		-0.18496224741589984
660news.com	16		0.3167363347034542
680news.com	16		0.23369315941958396
6abc.com	11	0.0414	0.5263197776945557
6minutes.com.au	36		-0.44740530812620255
700wlw.com	11		0.3006047428168526
710keel.com	44		-0.14495414175929155
7x7.com	46	-0.3877	-0.7535811625226863
90min.com	4	0.3045	-0.016501457300441502
90soccer.com	4		-0.13722980190139777
92moose.fm	13		-0.02238068781599422
943thepoint.com	22	0.2833	-0.08506085830980732
959watd.com	34		-0.3186363047549953
964eagle.co.uk	19		-0.004579030450804098
973espn.com	18		-0.0909404514883672
98fm.com	33		-0.055933491339281736
9and10news.com	11		0.44887360926549136
9news.com	48	0.152	0.13782847751467658
9news.com.au	7	-0.1032	0.07009606121432162
aafp.org	29	-0.1325	-0.30242442797141356
aaj.tv	6		0.21642152929912356
aarp.org	29	-0.1972	-0.30869401304383826
abajournal.com	15	-0.181	-0.06588040301102827
abbynews.com	38		0.0005466308524233527
abc-7.com	21	0.4118	0.6684139098152857
abc.net.au	7	-0.2167	0.08072700493199819
abc10.com	11	0.1524	0.29219778473431224
abc10up.com	43		-0.29157312050245027
abc11.com	11	0.1256	0.49733981667808197
abc12.com	22	-0.5704	-0.05523006018363151
abc13.com	11	0.0947	0.5276771745844849
abc15.com	11	0.3036	0.27477015549808587
abc17news.com	11		0.5513885917643971
abc19.tv	30		-0.3268239920860337
abc22now.com	8		0.2547730877684503
abc27.com	48	0.1197	0.24485859519399633
abc2news.com	22	-0.0413	0.11277704051454754
abc30.com	11	0.2113	0.3585050870706718
abc3340.com	8	0.2458	0.2682034179129132
abc57.com	11		0.375932767011121
abc6.com	11	-0.032	0.4217491506984688
abc6onyourside.com	8	0.1325	0.4018392366299051
abc7.com	11	0.0957	0.5320654124760038
abc7chicago.com	11	0.087	0.4638173426559929
abc7news.com	11	0.0002	0.44117024958839124
abc7ny.com	11	-0.1432	0.48545960066080673
abcactionnews.com	11	0.3208	0.1825232126912817
abccolumbia.com	11		0.24640116392082792
abcfoxmontana.com	11		0.21494676108472885
abcnews.com	11	0.0014	0.44458257926722006
abcnews4.com	8	0.1335	0.28887679487479007
abcnewspapers.com	46		-0.5066881684741308
aberdeennews.com	9	0.4177	0.09689169532834238
abnnewswire.net	46		-0.6397040362516307
about.com	22		-0.25100550699660334
aboutlawsuits.com	29		-0.07792664335301043
aboutmyarea.co.uk	1		-0.29734886365144475
abovethelaw.com	15	-0.2675	-0.037196808030257086
abplive.in	5		-0.015596718667560289
abqjournal.com	22	-0.1089	0.16680595576482252
abs-cbn.com	37		0.06898507966726806
abs-cbnnews.com	37	-0.1426	-0.03497391081582417
academia.org	15		-0.32402509655228007
accessaa.co.uk	46		-0.710080932823391
accessatlanta.com	18		-0.14986591549442438
accesshollywood.com	13	0.0582	0.004475641311877038
accommodationtimes.com	5		-0.31200346439862614
accountingtoday.com	10	0.3654	-0.11859690261441115
accountingweb.co.uk	1		-0.4366081017180816
accringtonobserver.co.uk	1		-0.5465099346701956
accuracy.org	30		-0.3700261109433752
accuweather.com	46	0.1295	-0.6685139432391707
aceshowbiz.com	13	-0.101	-0.01898926280105553
aclj.org	15	0.8922	0.027922682675008283
aclu.org	15	-0.7537	-0.06620286440196045
acnnewswire.com	46		-0.5140245145382485
acs.org	41	-0.5118	-0.45774362205315394
acsh.org	29	-0.052	-0.2392077208122528
actionforex.com	10		0.027308082560532836
actionnewsjax.com	11	0.3692	0.5520222189619299
actionnewsnow.com	11		0.12810568948993026
acton.org	45		0.020841101336455333
adage.com	22	-0.1935	-0.06361399634499602
adelaidenow.com.au	7	-0.0409	0.08009909923530162
adexchanger.com	22	-0.1969	-0.11597839262475323
adifferentleague.co.uk	4		-0.04235223799371061
adirondackdailyenterprise.com	25	-0.1454	-0.20259248516979866
adl.org	12	-0.566	-0.2489359037850553
adn.com	22	-0.1124	0.24058478747900675
adnews.com.au	36		-0.20779076470035726
adotas.com	46	0.0735	-0.49311779250624505
advanced-television.com	22		-0.0650109303790681
advancedsciencenews.com	41		-0.44710274994923543
advanceweb.com	29		-0.5097519961591106
advantagenews.com	26		-0.23748755654519377
adventistreview.org	46		-0.6611131954187791
adventuresinpoortaste.com	20		-0.21112162756259323
adventuresportsnetwork.com	46		-0.633993771536122
advertiser-tribune.com	27		-0.1125010263035515
advertiser.ie	33		-0.46123365724208126
advisor.ca	10		-0.15162341662365292
advocate.com	22	-0.7671	0.016734114842241334
adweek.com	22	-0.1908	-0.045139671772846335
adworld.ie	33		-0.5445329901859436
aei.org	15	0.398	0.12483714776793368
aerotechnews.com	3		-0.09516571945143047
af.mil	3	0.4882	-0.49324907547199465
afaqs.com	22		-0.16205744851498713
afc.com.au	30		-0.435085180980432
afkinsider.com	22		-0.21597217629719317
afl.com.au	22		-0.18545518178364187
afloat.ie	33		-0.4556286123314569
afr.com	36	-0.1531	0.05378489393307445
africanews.com	37	-0.4348	-0.01920848902043458
africareview.com	37		-0.04444211207917248
afro.com	22	-0.6051	0.034541432861071704
aft.org	46	-0.5857	-0.5632590085905461
aftermarketnews.com	46		-0.453355694867049
ageofautism.com	46	0.018	-0.6589685867554548
aggman.com	46		-0.524393660153062
agmetalminer.com	10		-0.11923610754489009
agprofessional.com	22	0.6364	-0.11985718674970275
agri-pulse.com	22	0.2313	0.00450654629907111
agriculture.com	22	0.7299	0.049397507025676225
agriland.ie	33		-0.32312627068056443
agrinews-pubs.com	30		-0.169031150114099
agweek.com	30	0.5145	-0.2200937052824199
agwired.com	22	0.6025	-0.08101680774594168
ahmedabadmirror.com	5		-0.012217145628402227
ahwatukee.com	22	0.2917	-0.19955028984550563
ai-cio.com	10		-0.2907446220803457
aijac.org.au	12		0.018770480385151077
aikenstandard.com	48	0.1641	0.10978724190970254
aim.org	15	0.8851	0.09115149019856764
ainonline.com	28	0.4385	-0.1360195126018764
aip.org	30	-0.7329	-0.4639297022441708
airdrieecho.com	16		-0.09560215583231639
airforcetimes.com	3	-0.108	0.12824374189812862
airport-technology.com	28		-0.23174245367541704
airport-world.com	28		-0.36398615603761797
airqualitynews.com	1		-0.3552525868681682
airspacemag.com	41	-0.032	-0.4458983700688299
airtrafficmanagement.net	28		-0.3710155301807988
airwise.com	28		-0.06669159648417164
aish.com	12	0.33	-0.35088372453505706
ajc.com	18	-0.0813	-0.006972068579640103
ajot.com	28		0.17517623413582228
ajournalofmusicalthings.com	32		-0.6698933574538837
ajp.com.au	36		-0.4402393885462176
al-monitor.com	6	-0.4134	0.284629881347488
al.com	18	0.0245	-0.01575757945325705
alabamanews.net	18		-0.15459797672451184
alamogordonews.com	22		0.1159147302278964
alarabiya.net	6		0.378809179255829
alaskahighwaynews.ca	38		0.0857373290956167
albanyherald.com	18	-0.2253	-0.08582657926930166
albawaba.com	6	-0.0258	0.3396659794559058
albernivalleynews.com	38		0.007845890602135325
albertafarmexpress.ca	30		-0.3110947841434625
alderleyedge.com	46		-0.6739761936022407
aldianews.com	15	-0.6573	0.16674744740956882
aledotimesrecord.com	22		-0.09070901966145001
alexandrianews.org	22		-0.056013214262888945
alextimes.com	46		-0.5494601753298584
algemeiner.com	12	0.4911	0.16291842435971546
alibi.com	46	-0.4655	-0.6019652587048728
aliran.com	49		-0.15515677676118536
aljazeera.com	6	-0.5265	0.49053534121497483
all4women.co.za	13		-0.02470011258227375
allaboutalpha.com	10		-0.4457725487139581
allaboutjazz.com	46	-0.5959	-0.7823782901647721
allaccess.com	30	0.2444	-0.3591559530739176
allafrica.com	14	-0.4526	-0.027129353595537635
allarsenal.com	4		-0.11744103978156514
allghananews.com	22		-0.07483728108012946
allgov.com	15	-0.1564	0.028486072359397947
allhiphop.com	42	-0.304	-0.2209952597412909
alliednews.com	18		-0.10762613541857963
alligator.org	18	0.092	-0.19950956415276233
allindiaroundup.com	5		-0.032630039401300485
allmediascotland.com	40		-0.3358577119213548
allotsego.com	46		-0.525502500193831
alloveralbany.com	25	-0.2927	-0.3442678057299509
allure.com	13	-0.3783	-0.1463947379761318
almanacnews.com	46		-0.5280195708274499
alphr.com	35	0.0662	-0.07375066149718514
altenergymag.com	28		-0.31203729420807697
alternet.org	15	-0.6378	0.18935058918834693
altfg.com	46		-0.5702167444319466
altondailynews.com	26		-0.05702004186378874
altoonamirror.com	18	0.2917	-0.08469720843169953
altpress.com	32	-0.014	-0.17822650161271184
am-online.com	1		-0.40921151619628204
am1150.ca	16		-0.09355412181314521
amandala.com.bz	46		-0.6660503402374969
amarillo.com	2	0.4287	0.07160797696481788
amazinavenue.com	22	-0.0476	-0.16053655399027925
ambrosiaforheads.com	42	-0.6278	-0.3916291468673528
