domain	cluster	score	partisan_score
americamagazine.org	45	-0.1991	-0.043573064648739966
americanbanker.com	10	0.1483	-0.15082311311417312
americanbazaaronline.com	5		-0.007453396226191146
americancityandcounty.com	30	0.0147	-0.4469431212164329
americanclarion.com	15		-0.3182448346911359
americanfreepress.net	15		-0.032043175129144424
americanindependent.com	11		0.32689586948854127
americanmachinist.com	28		-0.4370606917130044
americanpress.com	44		-0.05389538371228043
americansoccernow.com	30	-0.0045	-0.34290877790911756
americansongwriter.com	32	-0.1564	-0.5203664101730803
americanthinker.com	15	0.8718	0.3268931148849418
americasquarterly.org	46	-0.5403	-0.4415975837484975
amestrib.com	22	0.2889	-0.19686088098642968
amherstbee.com	46		-0.6514540769400304
amigobulls.com	28		-0.14463069320324853
ammoland.com	30	0.7631	-0.40290357266004073
amnesty.org	46	-0.5569	-0.573576275153479
amny.com	25	-0.4638	0.036197536267997904
amsterdamnews.com	25	-0.8401	-0.02295952016360043
anandtech.com	35	0.1278	-0.3093178158543096
anchoragepress.com	46		-0.7030164438548416
ancient-origins.net	41	0.0789	-0.45084032827100173
andoveradvertiser.co.uk	47		0.1719301324198001
androidauthority.com	35	0.0743	-0.1247467919905981
androidcentral.com	35	0.0711	-0.1446607137876012
androidheadlines.com	35	0.1838	-0.0775099802734297
anglicannews.org	45		-0.4043840174272838
anglocelt.ie	33		-0.3672685299442411
animationmagazine.net	20	-0.2459	-0.5289546091925431
animenewsnetwork.com	46	-0.2084	-0.5334852665884152
aninews.in	5		-0.0034332481246567093
anna.aero	28		-0.18349980450753903
annahar.com	6		0.6073402943138428
annistonstar.com	24	0.1353	0.004169747864851757
anotherangryvoice.blogspot.com	19		0.032822496039955795
anphoblacht.com	33		-0.21506337234713435
antiguaobserver.com	37		-0.03694246553736512
antimusic.com	32		-0.08409274752351616
antiwar.com	6	-0.0805	0.25021869498331945
aol.co.uk	47		0.12015071996248387
aol.com	13	0.005	0.08456293208255278
aopa.org	46	0.5648	-0.5509553708736403
aplus.com	13	-0.1247	0.07131073012839592
app.com	22	0.0875	0.052790170172667635
apparelnews.net	46		-0.6220202004623678
appeal-democrat.com	48		0.27775685438708636
apple.com	35	0.0274	-0.28562217372699766
appleinsider.com	35	0.0523	-0.04929632414437209
appstate.edu	46		-0.6959349325552271
apr.org	0		0.2935372880307608
aps.org	46	-0.4365	-0.6317403468430726
aptn.ca	16		-0.26167685330740054
aptnnews.ca	16		-0.18894536798501715
arabamericannews.com	43		-0.09767642800104856
arabianbusiness.com	28	-0.1763	-0.018354832580919096
arabianindustry.com	28		-0.2481886874025045
arabtimesonline.com	6		0.26839191120705486
araratadvertiser.com.au	7		-0.018267248206589173
archinect.com	46	-0.5416	-0.6265585615112477
architecturaldigest.com	13	-0.0305	-0.41698294565603583
architectureanddesign.com.au	36		-0.2746288809478214
archpaper.com	46	-0.5207	-0.7040308835310413
ardmoreite.com	30		-0.37328140455670106
ardrossanherald.com	47		0.17515261104862914
areadevelopment.com	18	0.4002	-0.08137757237164878
areanews.com.au	7		0.005902881966827557
areawidenews.com	46		-0.566694997954958
argusobserver.com	24		-0.020289155271661873
arizona.edu	30		-0.26705041676468944
arizonasports.com	22	0.4033	-0.08418755836228695
arkansas-catholic.org	45		-0.14915445244552214
arkansasbusiness.com	22	0.1937	-0.10480008684269237
arkansasmatters.com	22	0.0286	-0.0614604794102995
arkansasnews.com	22		-0.07006280237890929
arkansasonline.com	22	0.0116	0.07230062505771685
arklatexhomepage.com	44	0.2965	0.3250664665922221
arktimes.com	22	-0.6297	-0.10666152424952982
arlingtontimes.com	46		-0.6150907969782017
arlnow.com	30	-0.2506	-0.46864763714299784
armenianweekly.com	46	-0.0196	-0.5544349666750148
armidaleexpress.com.au	7		0.014605135651728392
army-technology.com	3		-0.18558220709145318
army.mil	3	0.253	-0.430269538826153
armytimes.com	3	0.4144	0.022657392427381386
arnnet.com.au	17	0.357	-0.04350007550240436
arrl.org	46		-0.6136276406840316
arrowheadpride.com	22	0.5717	-0.20355955641045279
arseblog.com	4		-0.16473292111947796
arsenal-world.co.uk	4		-0.11767454945338925
arstechnica.co.uk	35	-0.1873	-0.04377097334753963
arstechnica.com	35	-0.2181	0.01627105719332908
artesianews.com	48		0.1891819506891301
artfixdaily.com	46	-0.5423	-0.6855590706950622
artforum.com	30	-0.8343	-0.5910930492341703
artinfo.com	30	-0.6345	-0.6233269230439272
artistdirect.com	32	0.0844	-0.4401291161470772
artlyst.com	46	-0.4486	-0.6962634951069928
artnet.com	30	-0.5338	-0.5721614578722886
artnews.com	46	-0.7388	-0.650241131902106
artsatl.com	46		-0.7725901780689978
artshub.com.au	46		-0.6591547356688802
artvoice.com	25	-0.25	-0.5402396592173866
arynews.tv	22		0.061931022728602646
as.com	4		-0.052493416772388356
asahi.com	49	-0.4076	-0.1488040795299217
aseaofblue.com	18	0.3988	-0.09496124496564642
ashbournenewstelegraph.co.uk	1		-0.5744641576765293
ashfordherald.co.uk	22		-0.13253686538525156
asianage.com	5		0.03480297639595398
asiancorrespondent.com	49	-0.4282	-0.0059276011931402185
asianetindia.com	5		-0.02856115960252189
asianimage.co.uk	47		0.16366433325045682
asianjournal.com	37		-0.02157274743324993
asianpacificpost.com	37		-0.30529339756164503
asianscientist.com	46		-0.4983020713034616
asiantribune.com	22		-0.10278369404790669
asiaone.com	49		0.017616377330472572
asiapacificreport.nz	37		-0.2724937706215882
asiasentinel.com	49		-0.02518019008433005
asiatraveltips.com	28		-0.09134834907719364
askmen.com	13	0.102	-0.4640093310345799
aspendailynews.com	46		-0.3658393642943391
aspentimes.com	30	-0.1952	-0.40583646609239804
assamtribune.com	5		-0.11420948245964711
assignmentx.com	20		-0.33485383357231974
associationsnow.com	30	-0.1923	-0.48643757565969886
astroawani.com	49		-0.011879839392204779
astrobio.net	41		-0.1912029559930987
astrobiology.com	41		-0.272494309275034
astronomy.com	41	-0.1668	-0.1615878603943769
astronomynow.com	41	0.0254	-0.12400526805365213
asu.edu	46	0.1458	-0.5863117154279003
asumag.com	30		-0.21831380650193963
athensmessenger.com	46		-0.6857900838723227
athensnews.com	46		-0.6717402473517845
athensreview.com	2		-0.21257740663360217
athleticbusiness.com	18	0.1537	0.009001225326972936
athleticsnation.com	30		-0.37338165455027594
atimes.com	49	0.045	0.27687611137930596
atlantablackstar.com	42	-0.7064	-0.04506386433251042
atlantadailyworld.com	42	-0.3911	0.04831990891250791
atlantafalcons.com	18		-0.1651144544104051
atlantamagazine.com	30	-0.4232	-0.5002261526443617
atlantic10.com	46		-0.6273814313982957
atlanticcouncil.org	6	-0.1156	-0.11155770124403344
atlanticsentinel.com	19		0.19361909314673667
atlasobscura.com	46	-0.4371	-0.6965313571485837
atmmarketplace.com	46		-0.5440894872297304
atpworldtour.com	22	0.0931	-0.10201391427483868
attackofthefanboy.com	31	0.0705	-0.08014715901364372
attitude.co.uk	22	-0.6006	-0.059623832964273746
atu2.com	32		-0.7716858703052413
atwonline.com	28		-0.07338496420419972
auburnjournal.com	46		-0.6643889003794277
auburnpub.com	21	-0.0307	0.638832878946588
auburntigers.com	18	0.5397	-0.14827788739287664
audaud.com	46		-0.7789179921935392
audubon.org	46	-0.5507	-0.637595728229972
augusta.com	18		-0.03969865230993927
augustafreepress.com	30		-0.16288478966475706
ausbt.com.au	28		-0.14633636559546567
austin360.com	13		0.12368740099300973
austinchronicle.com	2	-0.5237	-0.37497929907135114
austinweeklynews.com	26		-0.48149097394666807
australianageingagenda.com.au	46		-0.6345042847952604
australianaviation.com.au	28		-0.12060767799638245
australianmining.com.au	36		-0.3166822805293139
australianracinggreyhound.com	30		-0.4058043613231043
australiantimes.co.uk	7		-0.0005401262649865949
auto123.com	39		-0.09535206947903577
autoblog.com	39	0.1699	-0.061653799252610955
autocar.co.uk	39		-0.08343377401147119
autocarindia.com	39		-0.12899085310517192
autocarpro.in	39		-0.12094601910406315
autoevolution.com	39		-0.05639074306703458
autoexpress.co.uk	39	0.3296	-0.09624936253942624
autoguide.com	39	0.5266	-0.08670994532083137
autoindustriya.com	39		-0.19013298689358504
automationworld.com	46		-0.5964866309244432
automobilemag.com	39	0.3615	-0.12905501669935546
automotiveworld.com	39		-0.10733691976044138
autoremarketing.com	46		-0.5287384800681336
autospies.com	39		-0.10703403797108027
autosport.com	39	0.4466	-0.07263729147308258
autostraddle.com	30	-0.8016	-0.48633345169838826
autoweek.com	39	0.3347	-0.07748043762848554
autoworldnews.com	39		-0.062285477533190164
avclub.com	20	-0.5027	-0.2542598922855383
aviationpros.com	28		-0.09262610630405715
aviationtribune.com	28		-0.12372510445640761
aviationweek.com	28	0.4054	-0.08924958420186477
avinteractive.com	46		-0.6230088969313323
avnetwork.com	46		-0.6177288670860971
avonadvocate.com.au	7		0.000718404520994239
avweb.com	28		-0.26950601186561945
awardsdaily.com	20	-0.5293	-0.3425990010892534
awazedost.com	5		-0.08257027368096556
awfulannouncing.com	18	0.2211	-0.29740089423976424
awn.com	46	-0.4213	-0.5615140191569242
awoko.org	46		-0.5451812823630788
aww.com.au	22		-0.0960213688589579
axios.com	15	-0.3361	0.3384467897852245
axisoflogic.com	6		0.34270262959810144
azbigmedia.com	22	0.3255	-0.1744577404653041
azcapitoltimes.com	22	-0.0592	-0.0912326232560229
azcardinals.com	22	0.5712	-0.18926250462870456
azcentral.com	22	0.1353	0.004869162741481372
azdailysun.com	21	-0.2053	0.5280009841672813
azdesertswarm.com	30	0.4348	-0.31339593628818074
azfamily.com	11	0.3254	0.29776364693018786
azjewishpost.com	12		0.007006873245980977
azocleantech.com	41		-0.2955529613447697
azom.com	41		-0.3203186803812132
azonano.com	41		-0.22550430846264724
azpbs.org	22		-0.037373239200430806
azpm.org	22	-0.1923	-0.1380730050405953
azsnakepit.com	22		-0.136567182589712
aztecpressonline.com	46		-0.6758392524914659
b-live.in	5		-0.44545130078700546
b-townblog.com	46		-0.607074802935401
babble.com	13	-0.077	-0.4278497005982494
babwnews.com	41		-0.31933179892409
babycenter.com	13	0.0292	-0.14723103095055698
backstage.com	20	-0.4895	-0.37360270577818133
baconsrebellion.com	22		-0.12772435250725733
badgerherald.com	9	-0.285	-0.18432448901099313
badlefthook.com	22		-0.07329553903681507
baeblemusic.com	32	-0.5091	-0.752139360860331
bainbridgereview.com	30		-0.19305477577954056
bakercityherald.com	46		-0.5513317233906556
bakersfield.com	48	-0.0985	-0.1260740648125193
bakersfieldnow.com	8		0.35541237788388913
balkaninsight.com	6	-0.5968	-0.10709417684290314
ballerstatus.com	42	-0.5596	-0.19742427548617383
ballinaadvocate.com.au	7		0.03935877840903853
ballparkdigest.com	46	0.0697	-0.5565763161077196
ballymenatimes.com	30		-0.3074942296167459
ballymoneytimes.co.uk	30		-0.2649598938542584
balonnebeacon.com.au	7		0.03840302686755099
baltic-course.com	46		-0.4862963673939545
baltimorebeatdown.com	22	0.5459	-0.17344462780684453
baltimoremagazine.net	30	-0.29	-0.2442724157506494
baltimorepostexaminer.com	22		-0.08574402732999269
baltimoreravens.com	22	0.3188	-0.17597895367109997
baltimoresun.com	22	-0.2034	0.012592577607191211
bamsmackpow.com	20		-0.10492196435616563
banana1015.com	32		-0.05851777783723227
banbridgeleader.co.uk	30		-0.2519246466433028
banburycake.co.uk	47		0.17111094939870333
banburyguardian.co.uk	1		-0.4362134800385206
bandt.com.au	36	-0.1267	-0.12085928032968639
bangaloremirror.com	5		-0.05044618305217224
bangordailynews.com	22	-0.1939	0.03805175007523708
bankerandtradesman.com	34	0.0327	-0.08231354252708757
bankinfosecurity.com	17	0.2134	-0.3190315843891636
banking-business-review.com	10		-0.36327176936723704
bankingtech.com	10	0.1168	-0.24497931888060068
bankrate.com	10	0.3559	-0.1747119310581498
baptistnews.com	45	0.0033	-0.17296428254542803
barbertonherald.com	48		0.36019062468221896
barcablaugranes.com	4		-0.18367123876404903
barfblog.com	46		-0.6240451039461691
barkinganddagenhampost.co.uk	1		-0.3364190411334737
barnstablepatriot.com	46		-0.6245440123167078
barossaherald.com.au	7		0.00345464310472769
barrietoday.com	38		0.24551382949252043
barrons.com	10	0.3175	-0.04961964724962143
barrowjournal.com	46		-0.6527046995385064
barryanddistrictnews.co.uk	47		0.19067570181186638
baseballamerica.com	46	0.498	-0.5846412876213058
baseballnewssource.com	10		-0.08577162988600782
baseballprospectus.com	48	0.1641	-0.19228195074420817
basildonrecorder.co.uk	47		0.16904324915496002
basingstokegazette.co.uk	47		0.16216611947617168
basketballinsiders.com	48	0.2513	-0.004688673234210128
bastropenterprise.com	22		0.022917402359063508
batemansbaypost.com.au	7		0.008791286886254284
batesvilleheraldtribune.com	23		-0.04789791885825344
bathchronicle.co.uk	1		-0.5793191787944504
batleynews.co.uk	22		-0.07463562222145334
batman-news.com	20	0.1026	-0.13679442759969798
bavarianfootballworks.com	4		-0.32658955493562836
baylor.edu	46	-0.0941	-0.6661707863808384
baylorlariat.com	2		-0.3559846135448908
baynews9.com	48	0.3467	0.3233524160200287
bayoubuzz.com	44		-0.10093216515536729
baystatebanner.com	34	-0.9036	-0.2806737670555957
baystreet.ca	10		0.02495921941911935
baytoday.ca	38		0.17939834047133105
baytownsun.com	2		-0.10389175259884914
bayview-news.com	16		-0.14886770136872157
bbc.co.uk	47	-0.2004	0.17061697427342018
bc.edu	46	-0.4034	-0.5844991199874076
bcbusiness.ca	46		-0.48694009753331063
bcdemocrat.com	11		0.6799825417225169
bcheights.com	46	-0.4241	-0.6451724439062202
bclocalnews.com	38		-0.005055360393956226
bcsnn.com	18		-0.11050589668353836
bdlive.co.za	22	-0.3289	-0.014926006601456957
bdnews24.com	22		0.03105282613489469
bdtonline.com	21	0.2999	0.6533115940506842
beachmetro.com	46		-0.6258838324584107
beaconhilltimes.com	34		-0.4030424536248119
bearingarms.com	46	0.8746	-0.6076523772309592
beatricedailysun.com	21		0.648754372687258
beaumontenterprise.com	21	-0.2306	0.6713834483745695
beauregarddailynews.net	44		0.0219570985374073
becclesandbungayjournal.co.uk	22		-0.11403437204639448
beckersasc.com	29	0.5102	-0.32423467854853333
beckershospitalreview.com	29	0.099	0.024478520524741986
beckersspine.com	46		-0.5700542982220501
bedfordshire-news.co.uk	1		-0.38819072046030784
bedfordtoday.co.uk	1		-0.35182261080492633
beefcentral.com	36		-0.21728101134394945
beefmagazine.com	30	0.8165	-0.18093362555249387
begadistrictnews.com.au	7		0.018985037394027092
behindthesteelcurtain.com	18	0.3659	-0.08325849012629472
beinsports.com	4		-0.05156237337447024
belfastlive.co.uk	33		-0.132746718572873
belfastmediagroup.com	33		-0.37060226500656646
belfasttelegraph.co.uk	47	-0.1657	0.1198797591696345
beliefnet.com	45	0.059	-0.2384773579408744
bellanaija.com	14		-0.05975996934340097
bellingencourier.com.au	7		0.01564275614433255
bellinghamherald.com	48	-0.0871	0.12064345307693888
belmarrahealth.com	41		-0.33678990478447757
beloitdailynews.com	48		0.07247303736819308
belpernews.co.uk	1		-0.1586478211389601
belvoireagle.com	5		-0.18259487390348708
bemidjipioneer.com	9		0.008641515058998281
benarnews.org	49		-0.029237584274171745
bendbulletin.com	22	-0.1403	0.12127461064748231
bendigoadvertiser.com.au	7		-0.06377780846639641
bendsource.com	30		-0.2862613282516033
benefitscanada.com	16		-0.4119576756483195
benefitspro.com	29	0.353	-0.23645796042758277
benningtonbanner.com	22		-0.11006570914263986
bentoneveningnews.com	26		-0.13465022092810497
benzinga.com	28	0.1686	0.05016391561654842
berkeley.edu	41		-0.41973495286930956
berkeleydailyplanet.com	15		-0.04619833439370247
berkeleyside.com	46	-0.3278	-0.6989636079342583
berkshireeagle.com	34	-0.5639	-0.08065024239678331
berksmontnews.com	46		-0.5024342049387646
bernama.com	49		-0.08508183986432695
bernardgoldberg.com	15	0.8325	-0.09142410925938223
bernews.com	46		-0.6694008488084068
berwick-advertiser.co.uk	1		-0.5551060115713738
bestofneworleans.com	44	-0.1174	-0.18373740510016556
bet.com	42	-0.6425	-0.1017562988706069
betaboston.com	34	-0.3311	-0.46527019227218697
betanews.com	17	0.1636	-0.17777415407482447
betfair.com	46		-0.6037817608470087
beveragedaily.com	46	-0.0077	-0.43737534768093234
beverleyguardian.co.uk	22		-0.06116822937172137
bevnet.com	46	0.0358	-0.4368767865251286
bexhillobserver.net	22		-0.0995262233066911
bexleytimes.co.uk	1		-0.5067222614465228
beyondchron.org	30	-0.7549	-0.41082174737539473
beyondtheboxscore.com	48	0.1866	-0.19553491821546554
beyondtheflag.com	39		-0.09510868725717256
bgdailynews.com	21	0.3749	0.6387100965354018
bgnews.com	46		-0.6435176507384324
bgov.com	3		0.15998264263843542
bgr.com	35	0.0869	-0.014141533185524859
bgr.in	35		-0.0558738158864074
bhaskar.com	5		-0.07292482595562312
bhatkallys.com	5		0.04183614475581795
